FECHA;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24;TOTAL
29/10/2021;6,06;8,33;7,95;8,3;6,74;26,91;33,25;32,68;18,46;18,42;19,8;27,8;22,43;20,52;19,66;19,82;13,05;16,7;14,96;9,53;6,52;11,34;8,98;7,08;385,29
30/10/2021;5,7;7,85;7,47;7,82;6,34;25,34;31,32;30,8;17,39;17,36;18,66;26,19;21,12;19,34;18,51;18,68;12,28;15,73;14,09;9;6,16;10,68;8,45;6,66;362,94
31/10/2021;5,84;7,94;7,22;7,64;7,61;24,58;28,04;26,99;17,21;20,51;21,56;26,54;20,69;18,98;19,86;18,08;12,62;16,71;13,87;9,8;6,53;11,52;8,78;6,98;366,1
MATRIZ DE ENERGIA REACTIVA (ID:AGRADO);;;;;;;;;;;;;;;;;;;;;;;;;
1/10/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0,13;0,07;0;0;0;0;0;0;0;0;0,35
2/10/2021;0;0;0;0,01;0;0;0,02;0;0;0;0;0;0,39;0,63;0,59;0;0;0;0;0;0;0;0;0;1,64
3/10/2021;0;0;0;0;0;0;0;0;0,01;0,69;0,07;1,43;0,19;1,33;0,37;0;0;0,01;0;0;0;0;0;0;4,1
4/10/2021;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0,22;0,19;0,01;0,02;0,02;0;0;0;0;0;0;0,47
5/10/2021;0;0;0;0;0;0;0,01;0,02;0;0;0;1,04;1,27;1,12;0,95;0,14;0,01;0;0,01;0;0;0;0,01;0,02;4,6
6/10/2021;0;0;0,01;0,01;0,07;0,04;0,03;0,01;0,01;0;0;0,1;0,28;0;0,02;0,2;0,01;0;0;0;0;0,01;0;0;0,8
7/10/2021;0;0;0;0;0;0;0;0,02;0,18;1,38;0,75;0,16;0;0,83;0,39;0,77;0,22;0,36;0;0;0;0;0;0;5,06
